,コ　レ　ラ,,赤　　　痢,,腸チフス,,発疹チフス,,ジフテリア,,痘　　　瘡,,ペ　ス　ト,,猩　紅　熱,,パラチフス,,流行性脳脊髄膜炎,,日本脳炎,,急性灰白髄炎,
,患　者,死　亡,患　者,死　亡,患　者,死　亡,患　者,死　亡,患　　者,死　　亡,患　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　　亡
44,-,-,13,-,１,-,-,-,-,一,-,-,-,-,５,-,-,-,-,-,-,-,-,-
45,一,-,22,-,２,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-
46,-,-,３,-,-,-,-,-,-,-,-,-,-,-,２,-,-,-,-,-,-,-,-,-
47,-,-,６,-,１,-,-,-,-,-,-,一,-,-,２,-,-,-,-,-,-,-,-,-
48,-,-,１,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-
49,-,-,３,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,１,-,-,一,-,-,-,-,-,-
51,-,-,１,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,一,-,-,-,-,-,-,-,-,-,一,-,-,-,１,-,-,-,-,-,-,-,-,-
53,-,-,１,-,１,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,-,-,１,-,３,-,-,-,-,-,-,-,-,-,１,-,-,-,-,-,-,-,-,-
55,-,-,５,-,１,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
