,単位,明　　治　　31,,明　　治　　32,,明　　治　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　治　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　　正　　７,,大　　正　　８,,大　　正　　９,,大　　正　　10,,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額
イソディアンラノく－,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"384,529","456,253",-,-,-,-,-,-,-,-
石油（缶入）,ｶﾞﾛﾝ,"50,000","6,305","66,510s","100,224","1,693,295","374,077","1,613,485","324,425","1,698,508","350,394","3,436,190","754,682","3,046,680","706,162","2,666,580","594,776","2,871,643","547,332","1,328,840","252,633","778,880","174,909","1,898,270","420,088",-,-,"214,510","49,934","712,640","195,596",50,14,-,-,"375,380","101,244","136,237","37,575","19,404","6,597",65,35,"69,240","45,082","442,988","333,312","112,790","85,391","454,277","257,512","449,795","269,681","∠182,380","389,311"
揮発油,ｶﾞﾛﾝ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,007","11,959","24,619","32,070","22,959","30,432","57,608","60,010","66,888","73,777","55,947","54,445"
芳香性揮発油,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,"9,408","12,440",-,-,-,-,-,-,-,-
魚油・魚油及び鯨油,斤,-,-,83石,836,-,-,"189,200","7,164","901,948","37,038",-,-,-,-,-,-,-,-,-,-,-,-,"14,822",529,"31,778","1,304",-,-,-,-,-,-,-,-,-,-,"41,910","2,310",,９,"1,920",288,-,-,962,110,-,-,-,-,-,-,-,-
亜麻子油,斤,-,-,-,-,"20,677","4,863","6,804","1,536","13,608","3,500","15,667","3,237","14,969","2,522","14,495","2,457","15,097","2,697","12,698","2,429","16,908","3,466","17,690","3,387","8,704","2,113","11,907","3,855","12,284","3,754","13,884","3,139","18,274","4,015","4,190",909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ミネラルコルザ油・菜種,ｶﾞﾛﾝ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,990","1,782",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-
機械用油,斤,-,-,-,-,"169,895","9,609","7,284",226,"74,054","3,141","107,582","4,229","94,953","4,292","122,121","4,906","56,149","2,414","124,627","7,602","132,706","7,526","116,792","8,336",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他礦油,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,"1,537",111,40,32,16,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
パラフィンワックス,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,"63,064","10,010",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
赤燐,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,909","3,290",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ペイント,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,856","2,455","1,694",463,２,１,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-
繰綿,担,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,230","61,731","6,431","98,943","2,336",86.110,一,-,-,-,934,"28,020",-,-,10,77,243,"10,101",101,"3,245"
石炭,トッ,-,-,-,-,一,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.255,"10,040","4,950","29,700","4,600","75,204","14,855","287,325","7,356","172,875",-,-,"4,125","54,150","5,270","49,810",-,-,"15,950","210,500"
錨及び錨鏈,斤,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,"9,500","1,052","25,333","2,643","25,490","2,399","9,112",888,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
無味香蝋,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"93,083","16,315","150,800","27,277","303,894","54,408","227,079","38,287",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-
その他油蝋類,,-,-,741,"2,606",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,15,φ争●,２,30斤,６,87゛,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"56,491"
黄銅板,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,"8,492","3,665",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-
砂糖,担,"20,000","169,122",229,"1,525",-,-,50,287,59,474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
精糖（甲）,担,-,-,-,-,-,-,"3,055","23,723",-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
//（乙）,担,-,-,-,-,-,-,"9,(〕72","81,819",75,550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,一,-
魚粕（鰊粕）,担,817,"2,259","65,531*","699,080",242.594,"1,026,508","259,229","1,082,394","334,807","1,407,841",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
//（その他）,担,-,-,-,-,"1,321","5,289","2,276","9,060",841,"2,786",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
更紗,方碼,-,-,-,-,"5,430","1,317","6,295","1,692","1,790",505,"8,161","2,496","2,251",587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
フェルト（屋背用）,方碼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,000","2,607","8,781","1,475","4,737",492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
木材及び板,方呎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"40,617","2,037",●●●,"101,247",●●●,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10.385""1","74,619",-,-,"2,md","68,287","42,788R","266,745","35,130石","220,384"
汽船,艘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,１,"102,410",一,-,-,-,-,-,-,-,１,"68,341",１,"1,013",-,-,-,-,１,500,１,"42,500",-,-,１,358,-,-,ー,-,-,-,-,-,-,-,-,-,-,-
ダイナマイト,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"41,579","17,142",-,-,"37,799","14,035","18,750","9,000",-,一,"22,680","11,400","37,271","15,089",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燐鉱石,担,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"37,732","66,845","61,810","91,250","25,402","31,500","204,499","277,970","178,903","230,571","47,755","84,600","55,884","82,500","73,292","173,120","55,375","228,900",-,-,"170,854","610,340","65,197","134,750","51,328","120,000","121,147","274,820","87,236","206,000"
豆糟,担,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,~,-,-,-,-,-,276,849,"3,216","7,517","4,801","14,507","2,472","6,675","65,896","238,500","19,504","122,960",-,-,"4,496","20,937","3,690","19,652",34.575,"158,000","109,743","346,884"
麩,担,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ー,-,-,-,-,-,-,-,"25,654","121,609"
小包郵便物,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,一,-,-,-,-,-,,786,・呷盍,"5,305",●慟●,"5,208",●暮●,"7,334",●●・,"7,512",●●●,"6,502",■●・,"7,232",,"12,595",●蕃●,"8,697",●・●,"21,842",,"53,562",●●●,"35,877",,"36,814",●●●,"23,842",,"98,824"
その他雑費,,,"6,033",,"39,248",,"23,751",,"56,576",曾●●,"85,176",,"44,978",●●●,"32,159",●●●,"23,779",,"14,357",●●●,"28,696",●●●,"10,111",●●●,"7,603",,"4,306",●●●,"7,342",,"8,031",●●●,"10,539",●●●,"4,149",●●●,"4,924",■春香,14.715,●呷■,"57,532",血●●,"40,617",,"62,636",●●●,"56,802",,"115,425",,"169,063",●●●,"171,313",●●●,"85,249"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
