,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
軌條,トッ,-,-,１,272,８,"1,548",202,"24,068",326,"49,757",187.4,"15,178",-,-
鉄管,貫,"4,254","4,622","52,233","51,164","77,596","219,541","44,511","47,317","37,705","34,104","44,336","31,503",-,-
鉄釘,樽,22,303,751,"9,319","1,153","11,014",209,"1,902","1,155","18,256","1,554","15,127",-,-
鉄線,貫,371,969,"2,577","6,601","12,502","5,450","2,991","2,696","18,192","35,411","24,048","16,174",-,-
その他鉄製品,貫,"17,211","44,720","14,689","21,148","371,962","282,722","396,692","716,234","627,295","1,660,012","613,250","1,786,654","213,972","664,635"
諸金属製品,貫,733,"4,632","2,494","9,954","5,258","40,409","33,335R","43,644","37,865","103,542","41,641","99,275",498,"1,178"
陶磁器,個,248,"1,754","2,524","10,936",820,"8,475","2,328","13,986","1,899","23,437","1,760","8,991",-,-
煉瓦及び瓦,百本,899,"4,358",-,-,-,-,433,"2,733",980,"3,795",520,"3,437",-,-
板硝子,箱,35,484,73,718,226,"10,854",156,"1,574",93,"1,863",90,727,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
