,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
板硝子,個,-,-,-,-,-,-,-,-,-,-,１,７,-,-
硝子製品,個,46,805,-,-,51,620,-,一,50,291,83,"4,652","2,062","10,311"
車輛,輌,１,48,36,260,-,-,-,-,-,-,627,"12,514",22,168
船舶,隻,103,"122,627",２,"9,500",40,"139,241",73,"139,717",136,"187,160",2n,"228,536",143,"200,959"
時計,個,-,-,一,-,-,-,-,-,８,54,２,72,１,14
楽器及び学術器,個,-,-,-,-,-,-,-,-,３,236,18,742,-,-
度量衡器,個,18,481,-,-,98,"9,480",-,-,25,387,18,696,15,661
その他機械類,個,439,"149,938",６,"1,203",246,"76,885",228,"100,157","1,627","75,854",241,"68,482",472,"71,219"
空樽,個,530,733,232,"1,740",90,178,13,26,197,194,48,264,413,"1,406"
空箱,個,269,540,-,-,100,300,-,-,-,-,14,39,-,-
家具指物,個,-,-,-,-,４,40,-,-,３,299,１,24,-,一
その他木製品,個,"1,170","2,891",-,-,43,131,-,-,288,"11,521",71,893,118,"1,067"
竹製品・竹及び籐製品,個,５,41,-,-,-,-,-,-,-,-,１,１,-,-
石鹸,箱,１,21,-,-,-,-,-,-,-,-,-,-,-,-
文房具,個,-,-,-,-,17,42,-,-,-,-,-,-,-,-
漆器,個,-,-,-,-,-,-,-,-,-,-,１,２,-,-
燐寸,箱,４,51,-,-,-,-,-,-,-,-,-,-,-,-
畳表及び茣蓙・藺製品,束,３,９,-,-,-,-,-,-,-,-,１,３,４,15
畳及び畳床,枚,-,-,-,-,15,15,-,-,244,151,426,280,186,278
莚,束,396,426,-,-,-,-,-,-,-,-,６,ｎ,-,-
叺,束,-,-,159,617,-,-,-,-,-,-,-,-,-,-
縄,個,46,206,-,-,-,-,-,-,-,-,２,10,-,-
藁製履物,個,27,184,-,-,-,-,-,-,５,25,４,16,16,96
その他藁工品,個,106,"5,014",-,-,一,-,-,-,13,59,-,-,１,６
護謨及び同製品,個,１,９,-,-,-,-,-,-,４,48,２,56,１,26
皮革骨角製品,個,１,23,-,-,-,-,-,-,-,-,-,-,-,-
その他工産物,個,-,-,-,-,-,-,49,"1,152","1,014","15,397",117,"4,061",72,"2,110"
雑品,小計,●●●,20,●●●,"2,035,924",,"27,552",-,-,,68,僵●●,"768,554",,"357,516"
引越荷物,個,-,-,-,-,53,"2,995",-,-,-,-,-,-,-,-
手荷物,個,-,-,"39,120","625,920",-,-,-,-,-,-,"38,427","768,554","17,867","357,342"
その他雑品,個,５,20,"28,998","1,410,004","1,407","24,557",-,-,64,68,-,-,８,174
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
