,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
その他蔬菜,貫,"13,286","4,814","24,858","7,888","66,068","26,454","139,549","54,297","139,278","63,993","154,387","64,717","74,928","26,038"
その他農産物,貫,"2,100",583,"8,504","2,611","55,010","13,117","67,968","15,818","7,872","1,848","97,104","18,054",-,-
畜産物,,,,,,,,,,,,,,,
牛,頭,-,-,-,-,215,"33,598",50,"7,500",225,"56,553",41,"8,411",-,-
豚,頭,-,-,40,"2,640",20,138,30,390,10,130,74,"1,131",-,-
鶏,羽,-,-,-,-,300,686,200,523,-,-,397,"1,329",-,-
鶏卵,箱,104,"1,964",-,-,394,"5,548",214,"2,314",324,"3,793",406,"4,264",72,648
畜産食料品,個,-,-,５,84,428,"13,230",406,"13,970",471,"15,222","2,687","76,185",438,"8,814"
毛皮及び皮革,個,296,"132,856",31,"32,483",53,"9,060",68,"29,780",110,"43,825",359,"22,366",17,"4,169"
その他畜産物,個,-,-,-,-,-,-,-,-,２,158,-,-,-,-
林産物,,,,,,,,,,,,,,,
角材,石,-,-,-,-,-,-,236,"5,478",165,"1,389",12,79,-,-
丸太材,石,-,-,-,-,-,-,332,"2,517","2,461","12,296","2,444","11,879",31,268
挽材,石,146,"1,808",460,"7,198","8,877","99,530","16,907","175,716","10,538","100,488","5,669","54,082","4,371","25,890"
その他製材,石,-,-,-,-,-,-,35,270,519,"3,414","1,805","22,623",-,-
木炭,俵,-,-,300,597,220,720,"4,354","1,547",672,"1,433","1,701","3,633",-,-
薪,百本,-,-,-,-,-,-,-,-,１,15,-,-,-,-
竹材及び籐,個,４,３,40,96,112,252,239,"1,403",738,"4,896",942,"5,802",-,-
木糊,樽,-,-,-,-,131,"2,602",-,-,-,-,-,-,-,-
その他林産物,個,799,"19,978",-,-,-,-,113,"1,870","3,949","25,867","3,045","13,683",-,-
水産物,,,,,,,,,,,,,,,
鮮魚介,貫,-,-,-,-,"12,714","10,323","98,267","64,975","52,200","34,761","43,568","44,078","25,472","14,163"
塩鮭,貫,"77,671","102,551","21,702","24,902","11,370","12,815","21,976","24,808","517,880","509,936","479,500","258,655","112,005","341,915"
塩鱒,貫,"3,005,442","2,595,395","2,364,393","1,293,926","2,751,951","1,802,175","1,162,150","631,263","2,802,640","1,663,083","1,783,424","1,228,551","182,408","113,423"
塩鱈,貫,"482,995","268,217","442,110","166,329","348,130","242,799","250,671","71,270","344,802","161,850","229,920","84,898","9,600","3,338"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
