,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　和　　10,,昭　　和　　11,,昭　　和　　12,,昭　　和　　13,
衣類及び同附属品,,●●●,１,-,-,●●●,10,-,-,●●●,４,-,-,一,-
鉱物及び同製品,小計,■●●,"107,762",-,-,-,-,-,-,-,-,-,-,-,-
石炭,英ﾄﾝ,"12,530","107,762",-,-,-,-,-,-,-,-,-,-,-,-
鉱及び金属,小計,-,-,●●・,894,●●●,"7,787",-,-,-,-,-,-,-,-
葉鉄,百斤,-,-,110,884,-,-,-,-,-,-,-,-,-,-
帯鉄,百斤,-,-,-,-,686,"7,787",-,-,-,-,-,-,-,-
屑及故鉄,百斤,-,-,７,10,-,-,-,-,-,-,-,-,-,-
金属製品,小計,-,-,●●●,14,●●●,３,-,-,●●●,14,-,-,-,-
其他金属製品,,-,-,●●●,14,●●●,３,-,-,●●●,14,-,-,-,-
時計学術器銃砲船車及び機械類,小計,●●畊,210,●●●,110,●●●,210,●■■,310,●●●,100,●●●,80,●●●,75
車輛及び同部分品,,-,-,-,-,-,-,-,-,-,-,●●●,80,-,-
船舶,隻,●■●,210,●●●,110,●●帰,210,４,310,１,100,-,-,-,-
その他機械部分品,,-,-,-,-,-,-,-,-,一,-,-,-,φ●●,75
雑品,小計,●●●,"57,664",●●●,"93,616",●●●,"90,775",●・●,"3,831",●幽●,"1,731",●●●,948,●●●,680
木材,㎡,５,58,"2,708","36,648",656,"10,763",350,"3,759",162,"1,706",76,948,69,665
魚肥,百斤,"13,427","57,393","10,078","56,948","13,570","79,964",-,-,-,-,-,-,-,-
その他肥料,百斤,100,67,●●●,１,-,-,-,-,-,-,-,-,-,-
その他諸品,,-,-,-,-,●■●,４,●●●,３,-,-,-,-,●●●,15
旅客携帯品,,●●●,146,●●●,19,●■●,44,●●●,69,●●●,25,-,-,-,-
合計,,●●・,"11,030,611",●■●,"10,138,293",●●●,"11,977,122",●■襴,"500,001",●●●,"1,874",●ａ●,"1,158",●●●,755
再輸入品（内国産）,小計,●●●,"1,092,697",●●●,"1,239,610",●●●,"936,831",●●●,"3,730",-,-,-,-,-,-
精米,百斤,"2,869","20,083",-,-,-,-,-,-,-,-,-,-,-,-
麻縄,百斤,"5,844","83,402",-,-,-,-,-,-,-,-,-,-,-,-
絲縷縄索類,,-,-,-,-,●●●,"48,671",-,-,-,-,-,-,-,-
漁網,百斤,"18,582","683,671","20,217","877,536","21,585","596,129",-,-,-,-,-,-,-,-
船舶,,●●●,"221,876",●●●,"182,915",蓼●●,"124,480",３,"3,700",-,-,-,-,-,-
機械類,,●●●,"70,053",-,-,●●■,"105,400",-,-,-,-,-,-,-,-
その他諸品,,●●●,"13,612",●●●,"179,159",●●●,"62,151",●●●,30,-,-,-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
