,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
家具指物,個,92,"1,604",-,-,-,-,137,"1,637","1,009","10,089",115,"2,309",-,-
その他木製品,個,"26,122","202,367","34,214","275,761","24,231","226,202","70,208","376,672","83,491","345,167","13,542","217,646","15,451","93,415"
竹製品・竹及び籐製品,個,"7,223","10,483",343,"3,953","1,012","10,754",300,"4,132","1,537","13,200","1,357","20,155",768,"7,549"
化粧品,箱,-,-,-,-,-,-,１,２,44,364,1價,８,-,-
石鹸,箱,65,"1,020",23,571,60,"1,630",185,969,191,"2,912",85,"1,950",174,"1,799"
小間物,個,５,214,22,"1,778",29,"1,064",１,４,10,108,１,50,,
文房具,個,13,368,１,12,34,562,204,"20,077",58,"1,062",86,"1,476",27,401
玩具,個,-,-,10,496,-,-,-,-,-,-,-,-,-,-
漆器,個,-,-,-,-,-,-,-,-,-,-,６,226,８,224
燐寸,箱,60佃,891,-,-,11,239,100,794,44,370,35,441,49,488
荒物,個,122,"4,044",16,241,-,-,33,435,48,343,268,"4,426",42,"2,290"
畳表及び茣蓙・藺製品,束,108,"1,349",26,n7,114,656,-,-,621,"2,107",663,"2,142",183,"1,289"
畳及び畳床,枚,360,972,90,203,390,889,577,"1,567","5,752","11,282","1,020","2,063",631,924
莚,束,"63,342","127,147","34,177","67,190","62,910","114,439","31,149","52,860","46,779","80,285","11,358","82,940","50,778","70,822"
叺,束,"4,455","28,226","1,167","4,083","1,434","3,199",39,93,540,"1,127","1,944","3,244",30,32
縄,個,"9,135","50,812","3,556","30,390","7,648","43,924","9,225","47,065","8,608","45,810","35,333","118,471","10,698","35,227"
藁製履物,個,"2,461","20,875",795,"5,338","1,742","11,399","3,256","18,696","1,663","7,883",884,"4,498",517,"1,354"
その他藁工品,個,"17,365","115,541","26,237","177,830","26,280","143,173","20,468","130,036","15,645","107,957","11,826","79,718","13,826","95,755"
護謨及び同製品,個,69,"3,084",53,"5,555",42,"4,071",49,"1,153",141,"5,856",535,"16,422",73,"3,066"
皮革(骨角)製品,個,25,"2,670",139,484,９,"1,849",10,292,７,429,31,"6,540",36,"1,340"
爆発薬,個,１,24,-,-,-,一,-,-,11,164,-,-,-,-
その他工産物,個,-,-,70,"2,557",78,"2,348",647,"10,944",794,"7,217","1,404","17,427",30,509
雑品,小計,●Ｉ●,"13,966",●●●,"1,314,863",●・●,"398,285",●●●,"269,245",●●●,"175,411",●●●,"72,372",●●●,"887,849"
手荷物,個,-,-,"40,332","645,312",-,-,-,-,-,-,"2,876","57,512","47,861","880,068"
その他雑品,個,"8,087","13,966","51,504","669,551","43,527","398,285","32,451","269,245","20,315","175,411","2,614","14,860",513,"7,781"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
