,単位,明　　治　　31,,明　　治　　32,,明　　　治　　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　治　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　　正　　７,,大　　正　　８,,大　　正　　９,,以μ．,大　　正　　10,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,ＸＩ”,数　量,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
鰹節,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420,408,626,393,407,252,79,72,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
その他海産物,,●●●,323,曝●●,"1,828",一,-,-,-,-,-,●●●,"1,354",●●●,"1,680",・●●,"8,524",●●●,"4,136",●●●,916,●●●,"12,323",●昜●,450,●●●,"1,159",齒い齒,"2,778",●●●,"2,468",●・●,"1,998",●●●,"4,573",●●●,"2,385",●●●,"1,228",・●●,"9,460",●●摯,"1,279",二●●,"3,669",二●二,"19,478",,●二●,,"15,351",,572,●●二,"11,816"
銀杏草,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"289,805","42,465","526,600","113,398","318,022","58,350",担,"2,300","2,584","67,539","3,252","68,854","2,293","56,917"
その他水産物,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,73,ｌ●●,"3,931"
燕麦,担,-,-,-,-,-,-,-,-,-,-,"4,434","11,223",-,-,19,34,"169,295","3,316",-,-,"29,731",832,-,-,"68,950","1,820",-,-,"142,662","4,212","17,500",550,166,480,272,600,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
玉葱,斤,-,-,-,-,-,-,"125,414","3,942","129,969","4,289","151,188","5,144","25,500",733,"69,625","3,063","123,096","4,723","62,239","2,273","111,241","2,893","147,345","4,025","273,920","7,792","431,390","11,026","251,461","7,175","141,700","3,921","202,200","6,159","74,565","2,675","17,550",473,"56,950","1,722","147,315","6,142","133,734","7,427","43,402","3,003",担,759,627,"5,222",736,"3,301",598,"3,568"
林檎,斤,-,-,-,-,-,-,"505,102","30,638","271,975","18,490","470,556","33,322",315,42,"109,930","11,958","192,841","18,855","66,680","5,752","42,021","3,204","100,381","7,447","236,949","14,410","248,331","17,592","207,127","15,883","65,190","3,662","128,020","7,401","42,385","2,871","51,165","2,914",80,４,"25,140","2,426","12,448","1,411","3,468",549,担,138,193,"2,844",205,"2,708",196,"2,469"
果実及び核子,,"96,367s","6,214","11,110R","7,777",*(Ｄ　…,"22,111",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,"4,005",●●●,"4,200",●●●,"1,179",●ａ●,568,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
馬鈴薯,斤,-,-,-,-,-,-,141489,964,"85,657","1,067","31,835",444,"247,920","4,011","2,025",26,"123,097","1,328","34,163",301,"99,240","1,087","22,582",218,"66,499",858,"385,573","4,566","29,150",458,"87,290","1,181","23,615",288,"8,175",118,"102,400","1,225","14,960",203,"19,440",569,"45,033","1,484","102,740","2,130",担,"1,902",930,"2,912",372,977,906,"3,499"
玉菜,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"96,210","1,377",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
豌豆,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,069,740","174,437","719,056","89,220","2,085,707","281,836","414,329","70,798","3,900",351,担,"1,689",425,"6,588",18,174,１,15
隠元豆,斤,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"821,383","109,713","2,687,552","436,413","3,347,925","552,126","937,028","且4,457","88,905","9,766",担,37,37,444,153,"1,599",16,172
豆類,斤,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"44,077","1,817","1,335",58,-,-,-,-,-,-,-,-,-,-,46,270,42,239,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
その他蔬菜,,"40,774斤",517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,■●■,"6,069",●●●,"2,149",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
その他農産物,,●●●,"5,775",●●●,"2,126",-,一一,-,-,-,一,-,-,-,-,-,-,●●●,"8,217",,940,●●●,"3,919",,658,●●●,"13,492",,"8,684",●●●,"7,756",●■●,"4,306",●●●,５,-,-,●●●,"1,156",●●●,"62,762",●申●,"1,477",●●亂,"3,994",,"46,846",,●●●,●●●,"17,963",152,"8,973",●争●,"270,898"
麦粉,斤,"40,350","2,371","50,652","17,279","778,987","46,024","23,771","1,563","29,835","1,634","9,168",536,-,-,-,-,-,-,-,-,-,-,370,20,-,-,"10,153",585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
麦酒（大屋）,打,-,-,-,一,"2,554","5,449","2,593","6,213","2,837","6,751","3,757","9,213",４,９,12,27,"11,396","27,150","3,188","8,157","5,156","13,695","1,600","4,315","4,248","11,875","3,324","8,732","7,976","20,837","9,540","24,401","3,320","8,644",12,30,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
//　（小屡）,打,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
セメント,斤,-,-,"184,095","3,164",-,-,"397,350","6,313","1,202,087","17,873","202,089","3,079",263,４,-,-,"1,694,991","27,031","880,252","17,016",570,11,-,-,"4,845",65,"2,850",45,"5,700",96,"2,873",40,"8,550",105,"656,868","8,050",-,-,"10,275",278,"146,830","4,170","1,783,736","33,016","13,252,675","356,234",担,477,"3,174","8,022","12,335","29,078",-,-
焦炭（木炭）,斤,-,-,-,-,-,-,-,-,"453,900","4,842",-,-,-,-,"16,348",239,"27,350",382,"11,974",157,"14,220",236,20,350,-,-,10,195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
木炭,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,610",195,"2,890",373,"8,490",131,"278,664","4,210","15,890",236,"30,574",390,"12,370",163,"10,190",157,●●●,92,"25,185",889,"2,562",85,"24,500",797,担,855,177,776,334,"1,332",190,873
葡萄酒,打,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507,"2,591",312,"1,958",26,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
木製品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,163,●申φ,111,●●●,559,●・●,697,・●・,737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
その他工産物,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,199,●●●,"1,259",●●●,144,●●●,９,●●●,221,●■●,920,●●●,"1,350",-,-,-,-,●●●,"1,810",乱・●,"56,158",●●●,"97,697",●●●,"13,536",●●●,"94,629",,,●●●,"24,280",●●●,"7,424",-,-
木材及び板(鉄道枕木),石,"127,699","191,729","223,337","365,208",・●●,"8,020","11,937","17,919","3,758","4,528","3,144","2,886","10,547","16,029",183,269,"10,504","22,969","37,537","94,162","20,068","50,952","13,661","33,604",411,704,"1,034","2,229",-,-,301,505,"1,357","3,423",332,454,-,-,105,315,-,-,-,-,３,24,石,-,-,-,-,-,677,"3,198"
1/　　　（その他）,,-,-,-,-,-,-,●・●,"3,880",●●●,"8,627","14,158","28,731","15,994","39,549",413,691,"23,012","64,685","28,802","78,757",48,158,２,12,"10,916","32,746",６,19,10,49,"7,054","9,915","1,224","10,042",11,55,"1,272","9,247",322,"1,394",14,82,283,"2,207","3,170","60,490",石,,494,"8,078",980,"11,823","7,250","31,181"
硫黄,斤,"11,995,524","273,670","3,650k","301,774","13,026,446","308,768","21,052,496","466,691","21,341,279","468,250","31,999,553","689,913","30,564,822","663,410","37,880,425","713,475","47,091,081","924,737","34,769,477","689,218","38,674,328","762,842","42,729,990","743,135","52,885,590","899,158","32,591,053","569,843","45,999,891","920,785","43,694,485","924,417","37,060,442","717,783","51,908,017","950,299","41,607,976","1,317,663","44,473,498","1,230,324","32,634,295","893,719","19,913,502","711,285","849,213","49,416",担,100,770,358,675,"3,274","3,008","14,240"
満俺,斤,-,-,-,-,-,-,-,-,-,-,-,一,-,-,"311,589","3,754","7,226,962","59,156","3,200,555","49,713",225,３,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,一,-
石炭（塊炭）,トッ,-,-,"8,546","2,532",-,-,40,305,320,"2,272",44,320,-,-,-,-,-,-,"1,478","10,376",601,"5,281",50,492,161,"1,344",300,"2,650","1,370","12,152",993,"10,884",600,"6,000",449,"5,522",-,-,100,"1,050",75,"2,246",195,"6,252",700,"21,000",トッ,422,590,"11,118",450,"10,980",543,"12,311"
