,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
鮮魚介,貫,-,-,-,-,-,-,"362,960","327,619","768,928","732,237","478,288","429,888",-,-
塩鮭,貫,"190,821","201,140","3,486","4,320",400,"1,000","1,226,356","1,036,729","2,813,392","2,214,808","928,096","601,690","3,486,848","1,920,461"
塩鱒,貫,"182,643","114,647",-,-,"2,100","1,650","470,794","238,038","933,520","1,227,465","462,224","762,003","676,240","299,617"
塩鱈,貫,-,一,-,-,-,-,"65,256","18,851","198,304","67,950","10,560","4,143","12,688","4,999"
筋子,貫,"65,554","195,606",-,-,"2,640","7,343","14,658","41,918","69,232","113,352","43,936","84,314","10,032","17,317"
その他塩魚卵,貫,-,-,-,-,一,-,-,-,-,-,-,-,37,46
その他塩魚介,貫,"68,107","67,847","317,093","160,165","36,097","3,290",-,-,"42,064","52,620",396,380,"36,224","11,569"
乾鰊,貫,-,-,-,-,-,-,-,-,-,-,"3,168","1,597",-,-
乾鯑,貫,-,-,-,-,-,-,-,-,-,-,"1,328","2,477",-,-
棒鱈,貫,-,-,-,-,-,-,-,-,"1,328","1,245",208,309,-,-
開鱈,貫,-,-,-,-,-,-,-,-,"10,384","1,799","28,336","20,080",-,-
鱶鰭,担,-,-,-,-,-,一,-,-,-,-,-,-,30,"1,072"
乾鰯,担,-,-,-,-,-,-,-,-,74,"4,455",-,-,71,"1,413"
海参,担,-,-,-,-,-,-,２,250,-,-,-,-,-,-
乾鮑,担,-,-,-,-,-,-,-,-,-,-,-,-,35,"3,484"
貝柱,担,-,-,-,-,-,-,-,-,-,-,19,"1,820",10,800
その他乾魚,貫,139,290,６,７,-,-,"2,265","5,715","8,272","14,392",384,679,"6,183","3,907"
その他乾貝,貫,-,-,-,-,-,-,-,-,-,-,-,-,32,15
長切昆布,貫,-,-,-,-,-,-,131,49,160,93,-,-,-,-
雑昆布・その他昆布,貫,-,-,-,-,"5,760","1,700",-,-,-,-,"4,496",844,496,62
食用海藻,貫,-,-,-,-,-,-,-,-,138,68,368,180,-,-
雑用海藻,貫,-,一,-,-,"1,122","1,200",760,"1,180",48,80,80,100,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
