,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正14,昭和１,昭和２
その他,-,-,-,-,-,-,-,-,213,-,-,-,-,-,-,-,"15,900",750,-,"28,250","4,650"
魚類計,"17,260","5,035","27,696","43,888","36,540","18,292","10,086","6,031","14,414","7,913","11,255","9,711","24,100","20,991","7,540","44,875","131,140","42,400","796,900","151,600","206,600"
アワビ,434,251,-,-,-,480,420,145,-,990,810,720,900,"1,040",-,"22,000",-,"4,500","16,000","20,000","24,000"
カキ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ホッキガイ,-,-,-,-,-,-,-,-,-,-,-,-,250,240,240,500,-,500,-,-,-
アカガイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750,-,-,-
アサリ,55,120,140,100,140,160,110,250,-,21,45,40,300,350,-,900,-,"3,150","6,750","6,750","6,000"
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,000",-,-,-,-
貝類計,489,371,140,100,140,640,530,395,-,"1,011",855,760,"1,450",1.630,240,"23,400","16,000","8,900","22,750","26,750","30,000"
イヵ,"5,445","43,500","55,900","25,000","5,950","90,945","130,000","79,400","45,000","426,000","278,000","62,500","210,000","150,000","20,000","54,000","300,000","32,000","492,461","105,000","300,000"
タコ,555,130,105,122,126,-,90,84,-,84,120,150,120,350,320,"3,200",-,800,750,600,"5,000"
ナマコ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450,-,-,-
カニ,16,15,30,22,30,150,180,148,-,69,-,-,-,-,-,50,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,750",-,-,-,-
水産動物計,"6,016","43,645","56,035","25,144","6,106","91,095","130,270","79,632","45,000","426,153","278,120","62,650","210,120","150,350","20,320","57,250","301,750","33,250","493,211","105,600","305,000"
コンブ,-,-,-,-,-,-,-,-,-,"3,500","5,820","2,610","5,740","1,177","2,032","6,520","7,900","29,947","20,000","12,000","13,000"
石花菜,-,-,-,-,-,-,78,-,-,-,-,"2,660",-,-,-,"4,000",-,-,"4,500",-,-
ワカメ,-,-,-,-,-,-,９,30,-,50,50,50,56,60,120,"1,200",-,-,-,-,-
テングサ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,000","6,000"
フノリ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,198",-,-,-,-
海藻計,-,-,-,-,一一,-,87,30,-,"3,550","5,870","5,320","5,796","1,237","2,152","11,720","29,098","29,947","24,500","20,000","19,000"
総　　計,"23,765","49,051","83,871","69,132","42,786","110,027","140,973","86,088","59,414","438,627","296,100","78,441","241,466","174,208","30,252","137,245","477,988","114,497",",337,361","303,950","560,600"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
