,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９
スケトウ,-,-,-,-,-,３,12,７,,,,,,,,,
煮乾,,,,,,,,,,,,,,,,,
イワシ,-,-,-,135,"1,970",０,０,０,,,,,,,,,
イカナゴ,-,-,-,-,-,-,-,１,,,,,,,,,
アワビ,-,-,-,-,-,-,-,０,,,,,,,,,
その他,-,-,ー,-,"20,000",-,73,18,,,,,,,,,
燻乾,,,,,,,,,,,,,,,,,
サケ,-,-,-,-,-,３,２,０,,,,,,,,,
ニシソ,-,-,-,-,-,１,１,１,,,,,,,,,
マス,-,-,-,-,-,-,-,-,,,,,,,,,
その他,-,-,-,-,"1,085",-,-,-,,,,,,,,,
塩蔵,,,,,,,,,,,,,,,,,
イヮシ,-,-,-,"27,000","167,400",143,75,27,,,,,,,,,
サバ,-,-,-,-,-,-,-,-,,,,,,,,,
ブリ,-,-,-,-,-,-,-,-,,,,,,,,,
サケ,-,-,-,-,-,-,-,-,,,,,,,,,
マス,-,-,-,-,-,-,-,-,,,,,,,,,
タラ,-,-,-,-,-,-,-,-,,,,,,,,,
ニシソ,-,-,-,-,-,-,-,-,,,,,,,,,
マススジコ,-,-,-,-,-,-,-,-,,,,,,,,,
ポッケ,-,-,-,-,ー,-,-,-,,,,,,,,,
鰊鯑,-,-,-,-,-,-,20,30,,,,,,,,,
サケスジコ,-,-,-,-,-,-,-,-,,,,,,,,,
タラノコ,-,-,-,-,-,-,３,５,,,,,,,,,
マクロ,-,-,-,-,-,-,-,-,,,,,,,,,
イヵ,-,-,-,-,-,-,-,-,,,,,,,,,
その他,-,-,-,-,-,-,-,２,,,,,,,,,
雑類,,,,,,,,,,,,,,,,,
手繰昆布,-,-,-,-,-,-,-,-,,,,,,,,,
カマボコチクワ,"40,880","71,200","108,300","21,200","795,200",714,395,232,,,,,,,,,
ツクダニ,-,-,-,-,-,-,-,０,,,,,,,,,
ウニ,-,-,-,-,-,-,０,-,,,,,,,,,
スダコ,-,-,-,-,-,４,５,１,,,,,,,,,
魚貝缶詰,-,-,-,-,-,-,-,-,,,,,,,,,
イヵ,-,-,-,-,-,-,-,-,,,,,,,,,
焼ウニ,-,-,-,-,-,-,-,-,,,,,,,,,
イカシオカラ,"12,120","20,000","9,500","10,000","140,330",139,127,58,,,,,,,,,
ウニシオカラ,-,-,-,-,-,-,-,-,,,,,,,,,
