,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
味付ィヵ,-,-,-,-,"4,658","4,629","3,913","5,272","6,474","8,714","10,932",-,-,-,-,-,-,-,-,-,-,-
【ねり製品計】,591,923,"1,343","2,371","5,731","5,940","5,208","4,504","5,866","5,298","5,101","5,835","5,771","5,877","6,146","4,603","6,372","6,532","5,352","5,374","6,270","5,598"
カマボコ,266,319,303,398,370,633,697,416,"1,537",598,489,788,864,"1,040","2,011","1,564","1,689","1,587","1,370","1,304","1,270","1,598"
魚肉ソーセージ,260,534,938,"1,890","4,500","4,628","4,420","4,004","4,192","4,475","4,348","5,047","4,907","4,837","4,135","3,039","4,683","4,945","3,982","4,070","5,000","4,000"
焼チクワ,65,70,102,83,118,50,26,56,137,225,264,-,-,-,-,-,-,-,-,-,-,-
スリミ,-,-,-,-,743,629,65,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
【ゅで物計】,29,-,-,"1,287",741,344,277,517,292,196,533,142,59,42,n4,145,180,108,233,901,78,104
イヵ,-,-,-,"1,255",691,252,148,412,-,-,410,35,-,-,64,82,70,48,128,-,-,-
タコ,29,-,-,32,50,92,129,105,292,196,123,107,59,42,50,63,110,60,105,-,78,104
ホタテ貝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,901,-,-
【調味漬物計】,-,-,-,360,702,612,636,890,872,"1,023","1,628",976,"1,362","1,334","1,085",920,"1,163",761,997,"2,174","1,879","2,365"
スダコ,-,-,-,-,-,３,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
イズシ,-,-,-,-,-,-,-,-,-,-,-,-,260,348,293,226,195,163,131,290,260,321
その他,-,-,-,360,702,609,636,890,872,"1,023","1,628",976,"1,102",986,792,694,968,598,866,"1,884","1,619","2,044"
【塩から計】,494,539,"1,427","2,899","3,224","2,660","3,044","3,339","4,237","4,065","3,335","2,821","3,177","4,766","3,453","3,076","4,666","4,139","4,762","5,530","5,440","4,926"
イヵ,494,539,"1,427","2,844","3,221","2,660","3,044","3,339","4,237","4,065","3,335","2,821","3,177","4,766","3,453","3,076","4,666","4,139","4,762","5,530","5,440","4,926"
ウニ,-,-,-,-,-,０,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,55,３,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-
【つくだに計】,10,"1,053","1,142","2,359","1,694","1,351",595,550,839,802,842,477,323,656,"1,215","1,003","1,636","1,707","2,124","2,260","2,329","1,091"
つくだに,10,"1,053","1,142","2,359","1,694","1,351",595,550,839,802,842,477,323,656,"1,215","1,003","1,636","1,707","2,124","2,260","2,329","1,091"
【こんぶ干製品計】,73,34,16,４,32,41,41,907,361,622,576,531,349,528,280,564,960,530,664,334,519,786
元揃昆布,-,-,-,-,-,-,-,１,３,２,２,２,２,０,-,-,-,-,-,-,-,-
折昆布,69,29,８,２,14,36,７,723,213,536,495,444,247,413,253,518,765,465,592,320,473,710
その他昆布,４,５,８,２,18,５,34,183,145,84,79,85,100,115,27,46,195,65,72,14,46,76
【こんぶ加工品計】,-,-,-,194,109,209,215,274,306,329,233,242,219,268,184,181,200,211,411,276,281,391
こんぶ加工品,-,-,-,194,109,209,215,274,306,329,233,242,219,268,184,181,200,211,411,276,281,391
【海藻製品計】,165,134,95,73,79,96,135,164,218,95,62,147,138,102,"1,327",157,189,175,165,80,94,146
ワカメ,96,49,13,４,14,21,34,９,63,29,30,103,36,80,７,96,112,144,111,76,91,143
チガイソ,25,30,22,32,17,48,76,117,136,63,30,43,82,10,19,14,30,17,-,-,-,-
その他,15,５,-,７,-,２,３,５,-,-,２,１,20,12,"1,301",47,47,14,54,４,３,３
スギノリ,-,-,13,-,-,-,-,-,-,-,０,-,-,-,-,-,-,-,-,-,-,-
テングサ,22,48,32,29,∠16,24,18,33,17,２,-,-,-,-,-,-,-,-,-,-,-,-
ギソナソソウ,７,２,15,１,２,１,４,０,２,１,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
スノレメ,,,,,,,,,,,,,,,,,,,,,,
その他,,,,,,,,,,,,,,,,,,,,,,
圧搾煮乾サバ,,,,,,,,,,,,,,,,,,,,,,
煮干コウナゴ,,,,,,,,,,,,,,,,,,,,,,
イワシ,,,,,,,,,,,,,,,,,,,,,,
サノく,,,,,,,,,,,,,,,,,,,,,,
コウナゴ,,,,,,,,,,,,,,,,,,,,,,
サソマ,,,,,,,,,,,,,,,,,,,,,,
【調味干くん製品計】,,,,,,,,,,,,,,,,,,,,,,
サケ・マス,,,,,,,,,,,,,,,,,,,,,,
タラスケトウタラ,,,,,,,,,,,,,,,,,,,,,,
ソボロ,,,,,,,,,,,,,,,,,,,,,,
その他魚類,,,,,,,,,,,,,,,,,,,,,,
イヵ,,,,,,,,,,,,,,,,,,,,,,
ホタテ貝,,,,,,,,,,,,,,,,,,,,,,
その他,,,,,,,,,,,,,,,,,,,,,,
味付スルメ,,,,,,,,,,,,,,,,,,,,,,
味付ィヵ,,,,,,,,,,,,,,,,,,,,,,
【ねり製品計】,,,,,,,,,,,,,,,,,,,,,,
カマボコ,,,,,,,,,,,,,,,,,,,,,,
魚肉ソーセージ,,,,,,,,,,,,,,,,,,,,,,
焼チクワ,,,,,,,,,,,,,,,,,,,,,,
スリミ,,,,,,,,,,,,,,,,,,,,,,
【ゅで物計】,,,,,,,,,,,,,,,,,,,,,,
イヵ,,,,,,,,,,,,,,,,,,,,,,
タコ,,,,,,,,,,,,,,,,,,,,,,
ホタテ貝,,,,,,,,,,,,,,,,,,,,,,
【調味漬物計】,,,,,,,,,,,,,,,,,,,,,,
スダコ,,,,,,,,,,,,,,,,,,,,,,
イズシ,,,,,,,,,,,,,,,,,,,,,,
その他,,,,,,,,,,,,,,,,,,,,,,
【塩から計】,,,,,,,,,,,,,,,,,,,,,,
イヵ,,,,,,,,,,,,,,,,,,,,,,
ウニ,,,,,,,,,,,,,,,,,,,,,,
その他,,,,,,,,,,,,,,,,,,,,,,
【つくだに計】,,,,,,,,,,,,,,,,,,,,,,
っくだに,,,,,,,,,,,,,,,,,,,,,,
【こんぶ干製品計】,,,,,,,,,,,,,,,,,,,,,,
元揃昆布,,,,,,,,,,,,,,,,,,,,,,
折昆布,,,,,,,,,,,,,,,,,,,,,,
その他昆布,,,,,,,,,,,,,,,,,,,,,,
【こんぶ加工品計】,,,,,,,,,,,,,,,,,,,,,,
こんぶ加工品,,,,,,,,,,,,,,,,,,,,,,
【海藻製品計】,,,,,,,,,,,,,,,,,,,,,,
ワカメ,,,,,,,,,,,,,,,,,,,,,,
チガイソ,,,,,,,,,,,,,,,,,,,,,,
その他,,,,,,,,,,,,,,,,,,,,,,
スギノリ,,,,,,,,,,,,,,,,,,,,,,
テングサ,,,,,,,,,,,,,,,,,,,,,,
ギソナソソウ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
