,諸　　　　　預　　　　　金,,,,,,,,,,,,,,,,送　金　手　形　及　び　荷　為　替　手　形,,,,,,代　　　　　　金,,取　　　　立　　　　手　　　　形,,,,,
,定期預金,（↓平均額）,当座預金,（↓平均額）,その他預金,（↓平均額）,合　　計,（↓平均額）,貸　　付　　金　　及　　び　　割　　引　　手　　形,（↓平均額）,当座預金貸越,（↓平均額）,割引手形,（↓平均額）,総　　計,（↓平均額）,送　　　　金,,荷　為　　替,,合　　　　計,,為　替　手　形,,約　束　手　形,,小　　切　　手,,合　　　　　　計,
,預入高,月末残高,預入高,月末残高,預入高,月末残高,預入高,月末残高,貸付金,月末残高,貸　出　高,月末残高,割引高,月末残高,貸出割引高,月末残高,入金（振出）,出金（振込）,入金（取立）,出金（貸出）,入　　金,出　　金,入　　金,出　　金,入　　金,出　　　金,入　　金,出　　　金,入　　金,出　　　金
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明治31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大正１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
