,銀　　行　　券,,国　　庫　　金,,φ八　　嶮石,丶|yr冫卜7jr冫ぢ八,-･---,｀冫砥ぷｎｘ芒i乙,d･ぜ･lgiﾑ，,･=!=･一一ム,納税準備,その他の,銀　　行　　貸　　出　　金　　勘　　定　（年末現在）,,,,,手　形　交　換　高　お　よ　び　不　渡　手　形　高　（年計）,,,,,,預　　　　　　金　　　　・　　　　貯　　　　　　金,,,,,,,貸　　　　　　　　出　　　・　　　貸　　　　　　　　付,,,,,
,発　　行,還　　収,受　　入,支　　払,吊Q5　　11yt,=1ｴＪ一一乙,日Xf刄丿冫4丶1L,XJ71ﾉ丶ＭＪ癶丶ぴ-,74－冫▽'JJ-R Jび･,AG.WJ・ヽ-,預　　金,預　　金,総　　額,手形貸付,証書貸付,当座貸付,割引手形,手　形　交　換,,八　　φ茫i,き!　　嶮芒i,不　渡　手　形,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,交換日数,枚　　数,-　-,-　-,枚　　数,金　　額,相互銀行,信用金庫,信用組合,労働金庫,商工中金,農　協,漁　協,相互銀行,信用金庫,信用組合,労働金庫,商工中金,農　　協
昭和23,,,,●●●,●●●,●●●,●●●,●●呷,●●●,●●●,,●●僵,■●蕃,●●●,,●●●,●●●,●●●,"254,143","18,2〔)5",,●●●,,,■●●,●●●,-,,■■・,春●●,・●■,,,-,●●●,●●●
24,●●●,●●●,二●●,●●●,"3,716",■●●,●●●,●●●,,,,●●齒,"2,538",●●●,●舎●,●●●,●●Ｉ,●●●,●●●,●啝●,●●●,●●●,●●●,274,■●●,72,-,●●●,,,271,●●●,58,-,■●●,●彈呷
25,夸●●,●●●,●●●,●●●,"3,955",●●啝,●●●,●●●,●●●,●●●,●●●,●●●,"3,388",,●●●,●●●,●●●,●■●,●●●,●●●,●嘯●,●●●,●●●,235,,130,-,,235,-,267,-,92,-,●曾●,●●●
26,●●●,二●●,●●●,■・●,"5,903",■呷●,■●●,●●●,●●啝,●●●,●●●,,"4,787",●●●,■●●,●●●,,●●呷,,,●●●,二●●,●春●,465,22,γ,-,,,,449,￢,37,-,,●●●
27,"16,253","7,682",●暈■,●●●,"8,056",二●●,●●●,●●●,●●●,●●●,●●●,●●●,"6,507",,●●●,●二●,,,,,,●●●,●●●,728,35,１,-,●●●,●●●,●●二,666,２,14,-,●●●,●●●
28,"18,793","8,412",●・●,●●●,"9,168","2,306","2,027",87,"3,999",529,10,210,"7,340","4,246",40,52,"3,002",・●●,●●●,,●二●,●●●,●●●,"1,062",36,〕,-,,,■●ｆ,980,２,54,-,●嗽●,・１●
49,"144,405","155,114","117,332","137,218","180,467","18,081","33,405","9,817","111,970","1,318",138,"5,738","128,143","71,609","32,093",886,"23,555",299,"1,830,860","723,644","116,996",667,277,"34,118","31,527","8,054","4,217","5,921","3,825","1,946","27,614","29,067","5,926","3,496","19,540","3,595"
50,"178,236","188,038","144,076","168,955","206,817","20,387","39,652","11,313","129,110","1,355",116,"4,884","140,143","77,303","36,667",998,"25,175",299,"1,768,978","767,598","136,266",558,152,"41,422","36,353","10,344","5,485","6,714","4,934","2,411","33,280","33,590","7,941","4,726","25,393","3,918"
51,"186,950","194,348","151,214","176,872","245,315","24,094","46,106","11,766","156,223","2,024",137,"4,965","172,759","88,428","53,905","1,427","28,999",300,"1,800,960","884,251","155,997",449,117,"35,276","41,506","13,419","6,750","8,408","5,742","2,784","25,955","38,383","10,372","6,152","34,262","4,179"
52,"199,190","203,367","171,065","196,261","272,346","25,866","48,219","14,053","175,329","2,075",141,"6,663","186,789","89,901","63,678","1,903","31,307",300,"1,828,452","961,862","170,997",680,250,"38,990",45.544,14.224,"7,810","8,471","5,700","2,959","27,259","41,148","11,220","6,978","40,372","4,384"
53,"204,257","211,252","190,556","225,387","310,709","34,008","55,990","15,051","197,442","2,256",182,"5,780","221,844","106,600","78,130","2,308","34,806",299,"1,829,492","995,560","198,348",556,169,"46,332",,,79，,242,,,"34,732",,,,13,"5,721"
54,"207,616","223,644","197,769","236,910","349,286","36,724","62,749","19,002","222,750","2,283",268,"5,510","238,265","104,834","94,273","2,746","36,412",299,"1,854,392","1,016,231","188,538",693,344,"52,917",,,"103,",r02,,,"38,444",,,,15,"r,405"
55,"225,663","248,764","227,377","260,673","360,366","32,100","59,338","16,465","244,795","2,347",203,"5,118","249,111","111,159","97,303","3,452","37,197",300,"1,865,036","1,097,482","211,799",889,589,"58,482",,,"Ill,",366,,,"41,424",,,,16,"5,996"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
