,昭和27(28.1-3),昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
他会計からの長期借入金,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,300,000"
固定資産売却代金,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,"233,854","12,251,442","59,989","825,853",-,"222,736",-
工事負担金,,,,,,,,,,,,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-
再建債,,,,,,,,,,,,,,,,,,,,,"1,464,200,000",-,-,-,-,一,-
出資金返還金,,,,,,,,,,,,,,,,,,"50,000",-,-,-,-,-,-,-,-,-
貸付返還金,,,,,"736,687",-,-,一,-,-,-,-,-,-,-,-,-,-,-,~,-,-,-,-,-,-,-
自動車運送事業収入,"2,175,341","270,618","92,534",-,"36,115","16,181,284","21,159,975","42,151,470","36,000,000","35,000,000","39,000,000","83,000,000","37,000,000","44,000,000","42,000,000","41,000,000","73,000,000","120,143,825","87,000,000","32,000,000","1,230,129,224","101,361,995","65,746,598","27,201,691","334,763,657","253,781,746","258,000,000"
企業債,,,,,,,,,,,,"83,000,000","37,000,000","44,000,000","42,000,000","41,000,000","73,000,000","73,000,000","87,000,000","32,000,000","28,000,000","68,000,000","39,000,000","13,300,000","214,300,000","97,300,000","65,100,000"
貸付金戻入,,,"92,534",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
他会計からの長期借入金,,,,,,,,,,,,,,,,,,"20,000,000",-,-,-,-,-,-,-,-,"149,700,000"
他会計補助金,,,,,,,,,,,,,,,,,,,,,,,-,-,"64,308,514","83,705,452",-
固定資産売却代金,,,,,,,,,,,,-,-,-,-,-,-,"27,143,825",-,-,"229,224","11,131,995",-,"37,956","835,143","5,576,294",-
国庫補助金,,,,,,,,,,,,,,,,,,,,,"17,100,000","22,230,000","23,625,000","10,611,000","54,180,000","64,800,000","41,850,000"
道補助金,,,,,,,,,,,,,,,,,,,,,,,"3,121,598","3,252,735","1,140,000","2,400,000","1,350,000"
再建債,,,,,,,,,,,,,,,,,,,,,"1,184,800,000",-,-,-,-,-,-
貸付返還金,,,,,"36,115",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
関連収入,,,,,"30,000,000",-,一,-,-,-,-,"112,000",-,"1,223,147","716,175","12,149,092","957,419","1,242,346",-,-,-,-,,,,,
固定資産売却代金,,,,,"30,000,000",-,-,-,-,-,-,"107,000",-,"1,203,147","716,175","12,129,092","957,419",-,-,-,-,-,-,-,-,-,-
工事負担金,,,,,,,,,,,,,,,,,,,,,,,-,一,-,-,-
有価証券償還金,,,,,,,,,,,,"5,000",-,"20,000",-,"20,000",-,"1,242,346",-,-,-,-,-,-,-,-,-
計,"9,736,064","37,612,848","40,695,429","47,038,223","50.772,802","39,062,869","95,317,317","95,151,470","90,075,692","70,027,714","141,760,500","120,112,000","109,000,000","81,223,147","82,716,175","99,149,092","128,957,419","188,436,171","106,000,000","57,000,000","2,710,563,078","189,613,437","65,806,587","28,027,544","679,591,894","384,806,995","478,200,000"
資本的支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
軌道事業費,"2,913,492","74,276,989","99,196,925","80,769,960","70,223,456","86,536,128","115,588,278","112.872,292","105,425,315","91,581,881","139,815,074","69,068,134","81,907,184","89,579,703","77,340,454","87,768,893","93,354,839","116,398,034","76,357,450","76,562,106","1,563,163,384","220,255,896","137,275,039","139,322,152","465,720,829","235,814,369","456,871,602"
建設改良費,"992,681","66,045,289","86,585,490","61,501,557","50,304,639","58,445,002","85,113,378","84,624,112","76,886,491","60,841,004","110,778,675","43,047,690","54,442,301","63,229,098","43,790,723","52,562,419","56,270,436","75,164,796","33,958,459","30,368,420","59,566,180","76,836,969","1,144,740","680,000","12,488,746","4,119,000","6,598,131"
企業債償還金,"1.920,811","6,664,895","9,431,089","14,885,759","19,893,817","28,091,126","30,454,900","28,198,180","28,483,824","30,740,877","29,036,399","26,020,444","27,464,883","26,350,605","33,549,731","35,206,474","37,084,403","41,233,238","42,398,991","46,193,686","39,397,204","39,026,081","31,737,443","34,249,296","72,528,237","127,302,513","131,580,615"
貸付金,,"1,566,805","3,180,346","4,382,644",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
再建債借入一時借入金返還金,,,,,,,,,,,,,,,,,,,,,"1,464,200,000",-,-,-,-,-,-
他会計からの長期借入金償還金,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,300,000"
再建債償還金,,,,,,,,,,,,,,,,,,,,,,"104,392,846","104.392,856","104,392.856","104,392,856","104,392,856","104,392,856"
退職給与金,,,,,,,,,,,,,,,,,,,,,,,,,"276,310,990",-,-
投資,,,,,"25,000",-,"20,000","50,000","55,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自動車運送事業費,"530,919","17,867,120","29,328,682","14,384,627","49,800,849","20,874,652","32,766,902","57,522,405","51,930,035","57,259,317","70,173,616","121,977,739","85,627,188","95,966,045","90,070,106","100,571,472","142,100,409","146,649,135","142,890,095","88,545,575","1,317,465,793","232,336,275","207,117,779","166,743,992","422,398,854","333,630,462","433,741,016"
建設改良費,"145,263","15,458,193","26,536,902","11,252,501","47,419,595","18,402,158","26.921,102","48,772,405","37,346,695","35,925,985","40,044,675","84,882,300","45,380,189","53,296,536","46,737,900","55,520,907","93,191,766","95,354,380","94,072,520","32,851,536","74,167,392","91,077,780","67,208,520","29,072,260","161,954,500","165,296,438","109,399,900"
企業債償還金,"385,656","2,140,075","2,215,384","2,295,668","2,381,254","2,472,494","5,845,800","8,750,000","14,583,340","21,333,332","30,128,941","36,968,499","40,246.999","42,669,509","43,332,206","45,050,565","48,908,643","51,294,755","45,977,575","52,854,039","55,658,401","53,789,905","52,440,687","50,083,160","64,308,514","83,705,452","90,012,544"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
