,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　50,昭　和　51,昭　和　52,昭　和　53,昭　和　54
教育研究所費,"1,674,473","1,769,395","2,373,084","2,717,182","2,982,957","2,467,167","3,207,673","6,762,803","7,527,155","8,606,565","5,833,688",-,-,-,-,-
私立学校助成費　昭和43ｮﾘ私立学校振興費,"3,650,000","1,950,000","2,150,000","3,950,000","6,145,000","n,640,000","7,250,000","8,791,420","14,598,240","38,070,000","45,720,000","95,993,568","101,952,694","107,672,469","176,438,516","265,398,674"
小学校費,"254,093,871","289,788,134","314,981,383","296,409,966","331,037,181","383,641,721","461,991,702","529,333,990","605,401,496","774,147,780","1,154,350,082","1,374,349,952","1,528,553,014","719,279,864","809,057,892","937,424,900"
学校管理費,"179,623,350","207,437,134","234,842,005","276,074,897","310,791,402","362,651.970","441,128,580","506,293,087","581,527,568","747,490,864","1,121,298,621","1,330,587,391","1,484,571,790","669,563,777","746,401,682","854,609,894"
教育振興費,"16,827,219","18,000,000","18,182,440","20,335,069","20,245,779","20,989,751","20,863,122","23,040,903","23,873,928","26,656,916","33,051.461","43,762,561","43,981,224","49,716,087","62,656,210","82,815,006"
学校建築費,"57,643,302","64,351,000","61,956,938",-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
