,昭和27(28.1-3),昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
流動資産,"70,884,742","62,136,678","95,151,873","123,214,388","139,178,282","135,900,952","75,874,974","79,526,312","75,006,233","87,724,040","86,995,384","75,157,746","79,327,783","78,472,049","104,388,298","126,914,937","168,670,158","180,584,138","236,026,099","149,543,082","235,616,403","372,967,331","457,907,622","488,342,214","366,069,785","433,513,952","453,380,707"
繰延勘定,,,,,,,"2,866,286","2,316,286","1,743,086","1,169,886","596,686",,"58,016,008","47,383,234","35,433,234","22,695,246","48,989,544","36,741,544","24,493,544","12,245,544",-,-,-,-,-,-,-
資産合計,"1,015,274,815","1,060,799,460","1,131,112,880","1,194,009,043","1,295,344,054","1,409,457,398","1,464,408,873","1,584,014,480","1,665,511,714","1,727,458,967","1,878,708,840","1,965,342,106","2,119,317,632","2,125,489,249","2,166,408,271","2,280,322,142","2,744,011,934","2,934,569,073","3,139,529,685","3,275,162,973","4,165,169,538","4,731,597,068","5,869,125,749","7,034,019,939","8,793,130,955","9,457,772,281","9,809,990,846"
負債の部,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定負債,"21,014",-,-,-,-,-,-,-,-,-,-,-,-,"10,553,302","11,309,000","12,179,704","20,589,428","21,802,363","23,047,310","24,647,844","9,365,755","5,793,046","5,687,981","5,575,976","5,456,573","5,329,282","5,193,582"
流動負債,"8,332,107","15,265,068","15,713,410","10,788,211","14,685,391","18,298,155","18,586,465","42,848,004","49,520,504","48,174,565","146,573,078","22,530,147","85,811,222","76,563,934","139,673,896","199,380,071","244,128,875","235,732,468","311,841,966","286,551,672","501,431,975","1,122,693,399","1,202,850,474","754,144,571","556,715,516","383,015,546","377,623,487"
負債合計,"8,353,121","15,265,068","15,713,410","10,788,211","14,685,391","18,298,155","18,586,465","42.848,004","49,520,504","48,174,565","146,573,078","22,530,147","85,811,222","87,117,236","150,982,896","211,559,775","264,718,303","257,534,831","334,889,276","311,199,516","510,797,730","1,128,486,445","1,208,538,455","759,720,547","562,172,089","388,344,828","382,817,069"
資本の部,,,,,,,,,,,,,,,,,,,,,,,,,,,
資本金,"997,861,070","1,013,297,105","1,066,057,967","1,126,077,029","1,221,127,127","1,349,447,998","1,424,145,856","1,512,716,056","1,599,575,544","1,653,278,693","1,667,382,368","1,892,473,905","1,982,244,378","2,005,379,856","1,993,284,392","2,069,054,116","2,355,623,891","2,601,918,738","2,727,250,959","2,923,552,325","3,749,426,957","4,006,038,345","5,007,500,183","5,967,727,692","7,546,956,698","8,436,540,234","8,969,429,269"
自己資本金,"921,399,644","921,399,644","951,841,486","980,922,731","1,019,047,536","1,065,785,673","1,097,607,935","1,102,183,254","1,143,178,703","1,159,438,703","1,165,994,180","1,214,132,266","1,247,855,012","1,280,995,692","1,290,630,924","1,166,310,848","1,201,079,754","1,294,232,145","1,337,856,349","1,381,729,728","1,423,321,702","1,423,321,702","1,423,321,702","1,423,321,702","1,513,575,241","1,768,576,601","1,960,094,248"
借入資本金,"76,461,426","91,897,461","114,216,481","145,154,298","202,079,591","283,662,325","326,537,921","410,532,802","456,396,841","493,839,990","501,388,188","678,341,639","734,389,366","724,384,164","702,653,468","902,743,268","1,154,544,137","1,307,686,593","1,389,394,610","1,541,822,597","2,326,105,255","2,582,716.643","3,584,178,481","4,544,405,990","6,033,381,457","6,667,963,633","7,009,335,021"
剰余金,"9,060,624","32,237,287","49,341,503","57,143,803","59,531,536","41,711,245","21,676,552","28,450,420","16,415,666","26.005,709","64,753,394","50,338,054","51,262,032","32,992,157","22,140,983","291,749","123,669,740","75,n5,504","77,389,450","40,411,132","△95,055,149","△402,927,722","△346,912,889","306,571,700","684,002,168","632,887,219","457,744,508"
資本剰余金,,０,"6,612,146","7,195,353","7,626,353","8,426,353","16,186,142","16.443,198","16,498,448","16,498,448","16,615,308","16,615,308","18,121,352","28,789,572","28,789,572","28,818,349","30,517,349","31,117,349","33,152,349","45,552,349","61,380,736","149,613,740","205,918,161","216,318,161","429,000,808","441,369,572","524,231,263"
再評価積立金,,,"3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","3,012,146","2,454,923","2,454,923","2,454,923","2,454,923","2,454,923","2,454,923","2,454,923","2,454,923","2,454,923","2,454,923","2,454,923","2,454,923"
国庫補助金,,,"3,600,0〔〕0","3,374,007","3,374,007",-,-,-,-,"3,600,000","3,600,000","3,600,000","4,994,280","4,994,280","4,994,280","4,994,280","4,994,280","4,994,280","4,994,280","4,994,280","4,577,667","4,577,667","4,577,667","4,577,667","20,577,667","20,577,667","20,577,667"
受贈財産評価額,,,,"109,200","142,200","142,200","775,996","1,033,052","1,088,302","1,088,302","1,205,162","1,205,162","1,316,926","11,985,146","11,985,146","11,985,146","11,985,146","11,985,146","11,985,146","11,985,146","21,530,146","96,263,150","140,807,571","140,807,571","334,690,218","336,358,982･","386,163,673"
工事負担金,,,,"700,000","1,098,000",-,-,-,-,"8,798,000","8,798,000","8,798,000","8,798,000","8,798,000","8,798,000","8,798,000","8,798,000","8,798,000","8,798,000","18,798,000","22,798,000","22,798,000","22,798,000","22,798,000","22,798,000","22,798,000","44,755,000"
他会計負担金,,,,,,,,,,,,,,,,"586,000","2,285,000","2,885,000","4,920,000","7,320,000","10,020,000","23,520,000","35,280,000","45,680,000","48,480,000","59,180,000","70,280,000"
その他資本剰余金,,,,,,"5,272,007","12,398,000","12,398,000","12,398,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
利益剰余金又は欠損金,"9,060,624","32,237,287","42,729,357","49,948,450","51,905,183","33,284,892","5,490,410","12,007,222","△82,782","9,507,261","48,138,086","33,722,746","33,140,680","4,202,585","△6,648,589","△29,110,098","93,152,391","43,998,155","44,237,101","△5,141,217","△156,435,885","△552,541,462","△552,831,050","90,253,539","255,001,360","191,517,647","△66,486,755"
当年度純利益,"10,482,934","23,206,300","38,342,207","36,061,551","40,593,947","28,364,491","7,138,858","11,416,589",-,"9,995,931","47,395,639","33,945,340","33,268,216","3,692,845",-,-,"93,418,871","44,356,930","44,610,327",-,-,-,-,"505,258,307","255,001,360","191,517,647",-
利益準備金,,"460,000","1,630,000",-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
減債積立金,,,,"1,920,000","3,730,000","3,840,000","1,420,000","360,000",-,-,-,-,-,~,-,-,-,-,-,-,-,-,-,-,-,-,-
繰越利益剰余金,,"8,570,987","2,757,150","11,966,899","7,581,236","1,080,401",-,"230,633",-,-,"742,447",-,-,"509,740",-,-,-,-,-,-,-,-,-,-,-,-,-
繰越欠損金年度末残高,"△1,422,310",-,-,-,-,-,"△3,068,448",-,"△82,782","△488,670",-,"△222,594","△127,536",-,"△145,771","△6,693,553","△266,480","△358,775","△373,226","△31,235","△4,201,003","△157,385,577","△545,654,561","△415,004,768",-,-,-
引継欠損金,,,,,,,,,,,,,,,,,,,,,"△20,010,490",-,-,-,-,-,-
当年度純損失,,,,,,,,,,,,,,,"△6,502,818","△22,416,545",-,-,-,"△5,109,982","△132,224,392","△395,155,885","△7,176,489",-,-,-,"△66,486,755"
資本合計,"1,006,921,694","1,045,534,392","1,115,399,470","1,183,220,832","1,280,658,663","1,391,159,243","1,445,822,408","1,541,166,476","1,615,991,210","1,679,284,402","1,732,135.762","1,942,811,959","2,033,506,410","2,038,372,013","2,015,425,375","2,068,762,367","2,479,293,631","2,677,034,242","2,804,640,409","2,963,963,457","3,654,371,808","3,603,110,623","4,660,587,294","6,274,299,392","8,230,958,866","9,069,427,453","9,427,173,777"
負債資本合計,"1,015,274,815","1,060,799,460","1,131,112,880","1,194,009,043","1,295,344,054","1,409,457,398","1,464,408,873","1,584,014,480","1,665,511,714","1,727,458,967","1,878,708,840","1,965,342,106","2,119,317,632","2,125,489,249","2,166,408,271","2,280,322,142","2,744,011,934","2,934,569,073","3,139,529,685","3,275,162,973","4,165,169,538","4,731,597,068","5,869,125,749","7,034,019,939","8,793,130,955","9,457,772,281","9,809,990,846"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
